Title,Date,Interviewee,Interviewer,Original.Collection,Repository,Type.DCMI,Digital.ID,Filename
"Oral History Interview with Jane Bowers, August 15, 2007",2007-08-15T00:00:00Z,"Bowers, Jane","Kader, Cheryl","Oral History Interviews of the Milwaukee LGBT History Project, 2003-2007","University of Wisconsin-Milwaukee Libraries, Archives Department",Sound,UWMMSS0200_bowers.mp3,UWMMss200_Bowers_Jane_20070815_mono.txt
"Oral History Interview with Jeanne Arnold, October 6, 2007",2007-10-06T00:00:00Z,"Arnold, Jeanne","McConnell, Cathy","Oral History Interviews of the Milwaukee LGBT History Project, 2003-2007","University of Wisconsin-Milwaukee Libraries, Archives Department",Sound,UWMMSS0200_arnold.mp3,UWMMss200_Arnold_Jeanne_20071006_mono.txt
"Oral History Interview with Holly Loveland, June 26, 2007",2007-06-26T00:00:00Z,"Loveland, Holly S.","Kleppen, Julia","Oral History Interviews of the Milwaukee LGBT History Project, 2003-2007","University of Wisconsin-Milwaukee Libraries, Archives Department",Sound,UWMMSS0200_loveland.mp3,UWMMss200_Loveland_Holly_20070626_mono.txt
"Oral History Interview with Julia Kleppen, June 26, 2007",2007-06-26T00:00:00Z,"Kleppen, Julia","Loveland, Holly S.","Oral History Interviews of the Milwaukee LGBT History Project, 2003-2007","University of Wisconsin-Milwaukee Libraries, Archives Department",Sound,UWMMSS0200_kleppin.mp3,UWMMss200_Kleppin_Julia_20070626_mono.txt
"Oral History Interview with Donna Burkett, July 14, 2007",2007-07-14T00:00:00Z,"Burkett, Donna","Kleppin, Julia","Oral History Interviews of the Milwaukee LGBT History Project, 2003-2007","University of Wisconsin-Milwaukee Libraries, Archives Department",Sound,UWMMSS0200_burkett.mp3,UWMMss200_Burkett_Donna_20070714_mono.txt
"Oral History Interview with Janice Warren, August 1, 2007",2007-08-01T00:00:00Z,"Warren, Janice","Murray, Jennifer","Oral History Interviews of the Milwaukee LGBT History Project, 2003-2007","University of Wisconsin-Milwaukee Libraries, Archives Department",Sound,UWMMSS0200_warren.mp3,UWMMss200_Warren_Janice_20070801_mono.txt
"Oral History Interview with Rebecca Tassara, July 18, 2007",2007-07-18T00:00:00Z,"Tassara, Rebecca","Murray, Jennifer","Oral History Interviews of the Milwaukee LGBT History Project, 2003-2007","University of Wisconsin-Milwaukee Libraries, Archives Department",Sound,UWMMSS0200_tassara.mp3,UWMMss200_Tassara_Rebecca_20070718_mono.txt
"Oral History Interview with Lula Reams, July 21, 2007",2007-07-21T00:00:00Z,"Reams, Lula F.","Kleppin, Julia; Waller, Mbili","Oral History Interviews of the Milwaukee LGBT History Project, 2003-2007","University of Wisconsin-Milwaukee Libraries, Archives Department",Sound,UWMMSS0200_reams.mp3,UWMMss200_Reams_Lula_20070721_mono.txt
"Oral History Interview with Carol Stevens and Jai Brett, August 11, 2007",2007-08-11T00:00:00Z,"Stevens, Carol; Brett, Jai","Kader, Cheryl","Oral History Interviews of the Milwaukee LGBT History Project, 2003-2007","University of Wisconsin-Milwaukee Libraries, Archives Department",Sound,UWMMSS0200_stevens_brett.mp3,UWMMss200_Stevens_Carol_and_Brett_James_20070811_mono.txt
"Oral History Interview with Lorrie Neuendorf and Cathy McConnell, July 25, 2007",2007-07-25T00:00:00Z,"Neuendorf, Lorrie; McConnell, Cathy","Neuendorf, Lorrie; McConnell, Cathy","Oral History Interviews of the Milwaukee LGBT History Project, 2003-2007","University of Wisconsin-Milwaukee Libraries, Archives Department",Sound,UWMMSS0200_neuendorf_mcconnell.mp3,UWMMss200_Neuendorf_Lorrie_Cathy_20070725_mono.txt
